certificateID,certificateNumberFrom,certificateNumberTo,distinctiveNumberFrom,distinctiveNumberTo,quantity,onHand,transmissionComplete,folioID
1,10129,NULL,3392601,3392700,100,0,0,1
2,11719,NULL,3726241,3726250,10,0,0,1
3,14553,NULL,4095565,4095575,11,0,0,1
4,16623,NULL,4503709,4503720,12,0,0,1
5,18814,NULL,4948510,4948522,13,0,0,1
6,21326,NULL,5453110,5453123,14,0,0,1
7,23903,NULL,6003036,6003051,16,1,0,1
8,27412,NULL,6899501,6899526,26,1,0,1
9,29649,NULL,7596604,7596623,20,1,0,1
10,32015,NULL,8362014,8362035,22,1,0,1
11,35649,NULL,9996710,9996757,48,1,0,1
12,40634,NULL,11997240,11997289,50,1,0,1
13,40635,NULL,11997290,11997297,8,1,0,1
14,44688,NULL,14398215,14398264,50,1,0,1
15,44689,NULL,14398265,14398284,20,1,0,1
16,47732,NULL,15885773,15885797,25,1,0,1
17,47733,NULL,15885798,15885814,17,1,0,1
18,49878,NULL,17477502,17477526,25,1,0,1
19,49879,NULL,17477527,17477547,21,1,0,1
20,51925,NULL,19222823,19222872,50,1,0,1
21,65699,NULL,45229830,45229884,55,1,0,1
22,66929,NULL,52282647,52282768,122,1,0,1
23,68113,NULL,62732130,62732276,147,1,0,1
24,74650,NULL,68532265,68532364,100,1,0,1
25,74651,NULL,68532365,68532440,76,1,0,1
26,83317,NULL,82234087,82234186,100,1,0,1
27,83318,NULL,82234187,82234286,100,1,0,1
28,83319,NULL,82234287,82234297,11,1,0,1
29,50681,NULL,20065901,20066000,100,1,0,3
30,282703,NULL,42700801,42700850,50,1,0,3
31,380306,NULL,49475740,49475761,22,1,0,3
32,439297,NULL,63319760,63319834,75,1,0,3
33,484824,NULL,78497913,78497936,24,1,0,3
34,565888,NULL,88295795,88295834,40,1,0,3
35,600130,NULL,96340770,96340784,15,1,0,3
36,623326,NULL,100742959,100742974,16,1,0,3
37,644750,NULL,105719193,105719209,17,1,0,3
38,666205,NULL,110965094,110965110,17,1,0,3
39,694150,NULL,118759111,118759147,37,1,0,3
40,726115,NULL,126654913,126654994,82,1,0,3
41,748952,NULL,152502684,152502783,100,1,0,3
42,748953,NULL,152502784,152502849,63,1,0,3
43,761640,NULL,2037720123,703720451,329,1,0,3
44,770109,NULL,303779423,303779767,345,1,0,3
45,778420,NULL,408806353,408806685,333,1,0,3
46,787022,NULL,538449596,538449928,333,1,0,3
47,795729,NULL,64439793,644398141,199,1,0,3
48,804081,NULL,709697925,709698253,329,1,0,3
49,814854,,1262726274,1262726651,378,0,0,3
